question,answer,comment
"Has your company implemented ""Secure Application Development"" either through in-house development or through a third party?",yes,User requirements phase: security risk assessment has been carried out starting before the system is designed (eg threat modeling). Development phase: System Development Environment (SDE) is separate from the production & testing environment. Development phase: Access is provided in accordance with IAM Best practices where segregation of duty and least privileges principles are implemented for development users who require access to the production environment. Development phase: Security checks are carried out both automatically (code scanning) and manually during the system development phase. Development phase: Restricted access for use of public source code repositories (e.g. : GitHub and GitLab) Testing phase: Unit test; system integration tests and stress tests/load tests must be carried out before the User Acceptance Test (UAT). Testing phase: Production data (especially containing confidential information) is not used for testing purposes unless sanitized. Deployment phase: Security testing on the application before going live and when changes are made.
Is there commitment and support from Top Management regarding cyber security management?,yes,yes
"Is there regular reporting on ""Cyber Security"" to the Company's Management (DIC and/or BOD)?",yes,monthly
"Does your company conduct regular ""Gap Assessment"" of IT Security Management compared to the following International Security Framework?",yes,International Organization for Standardization (ISO) 27001; National Institute of Standards and Technology (NIST); Central of Internet Security (CIS); Cybersecurity and Infrastructure Security Agency (CISA) 5. Other
Has there been a periodic review and update (at least once a year) of the cyber risk assessment?,yes,yes
Has the use of cutomer data been approved by the customer?,yes,yes
Has the use of cutomer data by third parties been approved by the customer?,yes,yes
Does the data storage outside Indonesia comply with the existing regulations for example: Law No 11 of 2008; Law No 19 of 2016; Government Regulation 71 of 2019; POJK NUMBER 4 /POJK.05/2021; POJK NUMBER 11/POJK.03/2022; etc.?,yes,yes
Has the implementation of MFA in remote access been applied to all types of remote access (fully)?,yes,fully
Has your company conducted Vulnerability Assessment (VA) and Penetration Testing (Pentest)?,yes,yes
"Has your company implemented ""Personnel Security"" & ""IT Security Awareness"" programs?",yes,Every employee (permanent/contract/outsource) has signed a contract/Non Disclosure Agreement (NDA) regarding the obligation to maintain the confidentiality/security of information.
Does the company have a Specific Incident Response Plan (Incident Playbook)?,yes,yes
Does the cyber incident response procedure align/tie-ins with the company's BCP?,yes,yes
"Has your company implemented several security controls related to ""IT Continuity""?",yes,yes
